filename,word_count,sentence_count,character_count,unique_word_count,avg_word_length,avg_sentence_length_words,avg_sentence_length_chars,lexical_diversity,sentence_length_std_dev,word_entropy,char_entropy,readability_flesch_reading_ease,readability_flesch_kincaid_grade,readability_gunning_fog,readability_smog_index,readability_coleman_liau_index,readability_automated_readability_index,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,pos_tag_count,function_word_ratio,mattr,2gram_repetition_rate,3gram_repetition_rate,4gram_repetition_rate
blockchain_technology_bard.txt,233,11,1534,131,5.407725321888412,21.181818181818183,139.45454545454547,0.5622317596566524,7.208810036945095,6.432562381551176,4.347245965825659,33.34,13.8,16.53,15.8,14.5,15.5,0.071,0.775,0.154,0.9595,0,0.4248927038626609,0.7782608695652173,0.07758620689655171,0.02164502164502169,0.004347826086956497
blockchain_technology_chatgpt.txt,130,7,987,90,6.453846153846154,18.571428571428573,141.0,0.6923076923076923,6.433331570970116,6.2424902900649615,4.4142019368372685,10.5,16.4,17.9,17.5,20.42,19.1,0.017,0.869,0.114,0.9032,0,0.3230769230769231,0.8617283950617285,0.03100775193798455,0.0,0.0
blockchain_technology_deepseek.txt,222,10,1477,138,5.513513513513513,22.2,147.7,0.6216216216216216,6.029925372672534,6.656489955321438,4.3870564479895275,32.33,14.2,16.25,15.9,15.14,16.6,0.12,0.734,0.146,0.5439,0,0.3963963963963964,0.8061271676300577,0.03167420814479638,0.0,0.0
blockchain_technology_wikipedia.txt,355,14,2373,211,5.501408450704226,25.357142857142858,169.5,0.5943661971830986,10.84044769013019,7.240941677126867,4.473599567046824,29.89,15.1,16.66,16.4,16.31,18.8,0.095,0.807,0.098,-0.4471,0,0.35492957746478876,0.8537254901960785,0.053672316384180796,0.011331444759206777,0.0
crispr_gene_editing_bard.txt,281,14,1713,140,4.879003558718861,20.071428571428573,122.35714285714286,0.498220640569395,8.05751012334177,6.566413760140529,4.66302804028788,34.86,13.2,13.66,15.0,12.07,13.3,0.042,0.935,0.023,-0.5267,0,0.33451957295373663,0.7860344827586208,0.125,0.028673835125448077,0.003597122302158251
crispr_gene_editing_chatgpt.txt,204,10,1368,138,5.5245098039215685,20.4,136.8,0.6764705882352942,6.3118935352238,6.747217869316862,4.675063352620035,17.54,15.7,16.81,17.4,15.72,16.3,0.028,0.888,0.084,0.8883,0,0.27941176470588236,0.8385806451612905,0.039408866995073843,0.004950495049504955,0.0
crispr_gene_editing_deepseek.txt,309,15,2005,174,5.294498381877022,20.6,133.66666666666666,0.5631067961165048,5.135497379352202,6.93598755627711,4.662285420500828,25.69,14.7,15.48,16.8,14.27,15.1,0.027,0.904,0.068,0.8934,0,0.313915857605178,0.8227692307692308,0.09740259740259738,0.0228013029315961,0.0032679738562091387
crispr_gene_editing_wikipedia.txt,217,10,1367,143,5.129032258064516,21.7,136.7,0.6589861751152074,9.9,6.755561397091654,4.555008666008141,31.21,14.6,18.67,17.5,14.22,16.4,0.049,0.852,0.099,0.8335,0,0.3778801843317972,0.8123809523809525,0.02314814814814814,0.0046511627906976605,0.0
existentialism_bard.txt,476,20,3558,88,6.34453781512605,23.8,177.9,0.18487394957983194,7.19444229944198,6.20750305791449,4.246208076704035,5.22,18.4,12.41,18.9,20.14,21.1,0.113,0.77,0.117,0.8555,0,0.3865546218487395,0.8429039812646371,0.7557894736842106,0.748945147679325,0.7484143763213531
existentialism_chatgpt.txt,524,20,3807,97,6.076335877862595,26.2,190.35,0.1851145038167939,7.782030583337487,6.366049551421263,4.361539841093929,11.25,18.2,12.63,17.6,18.51,21.3,0.127,0.76,0.113,-0.1051,0,0.33587786259541985,0.8834105263157898,0.751434034416826,0.7490421455938697,0.7485604606525912
existentialism_deepseek.txt,606,24,4242,129,5.8316831683168315,25.25,176.75,0.21287128712871287,6.057020719792859,6.5899316082522645,4.298695026590207,12.16,17.8,12.63,17.1,17.0,19.5,0.108,0.811,0.082,-0.8101,0,0.40594059405940597,0.8339317773788151,0.6760330578512397,0.6655629139072847,0.6650082918739635
existentialism_wikipedia.txt,256,11,1826,172,5.921875,23.272727272727273,166.0,0.671875,11.832858020175001,7.050810345009284,4.5330966787245695,5.12,18.4,18.43,18.0,20.14,22.0,0.021,0.884,0.095,0.9556,0,0.3359375,0.8870531400966184,0.027450980392156876,0.0,0.0
fall_of_roman_empire_bard.txt,267,15,1856,163,5.7565543071161045,17.8,123.73333333333333,0.6104868913857678,5.74108003776293,6.752601873434806,4.4639591997499455,11.51,16.0,17.69,17.2,16.59,16.0,0.104,0.867,0.029,-0.9664,0,0.35580524344569286,0.8160550458715596,0.07894736842105265,0.02264150943396226,0.0037878787878787845
fall_of_roman_empire_chatgpt.txt,448,22,2970,232,5.455357142857143,20.363636363636363,135.0,0.5178571428571429,8.315076419839361,6.965516016319451,4.586689456168526,17.34,15.8,16.36,17.0,14.91,15.6,0.091,0.879,0.03,-0.968,0,0.3549107142857143,0.7881203007518797,0.15659955257270697,0.06502242152466364,0.02921348314606742
fall_of_roman_empire_deepseek.txt,502,18,3086,251,4.99800796812749,27.88888888888889,171.44444444444446,0.5,9.32671723174814,6.84591588387805,4.450720120503401,26.54,16.4,17.41,17.6,12.36,16.9,0.084,0.895,0.021,-0.987,0,0.4203187250996016,0.7570860927152319,0.17564870259481036,0.05600000000000005,0.022044088176352727
fall_of_roman_empire_wikipedia.txt,457,18,2886,233,5.183807439824945,25.38888888888889,160.33333333333334,0.5098468271334792,14.606463139038786,6.914331756446947,4.3756231553104765,29.08,15.4,16.07,16.3,13.47,16.5,0.106,0.826,0.068,-0.9531,0,0.4113785557986871,0.779607843137255,0.14692982456140347,0.05054945054945059,0.017621145374449365
marvel_cinematic_universe_bard.txt,296,15,2085,165,5.679054054054054,19.733333333333334,139.0,0.5574324324324325,6.444291185917105,6.8425790518188006,4.499054547099815,26.3,14.4,15.61,16.6,16.13,16.5,0.0,0.869,0.131,0.9862,0,0.34797297297297297,0.8301214574898786,0.07796610169491525,0.003401360544217691,0.0
marvel_cinematic_universe_chatgpt.txt,382,25,2613,208,5.617801047120419,15.28,104.52,0.5445026178010471,8.74308869908112,7.143698632308206,4.723129759834943,27.52,14.0,14.0,15.5,16.82,16.7,0.018,0.847,0.135,0.99,0,0.28272251308900526,0.8484684684684684,0.0813648293963255,0.018421052631578894,0.00527704485488123
marvel_cinematic_universe_deepseek.txt,448,17,2981,237,5.426339285714286,26.352941176470587,175.35294117647058,0.5290178571428571,11.103476808271987,7.188774272409783,4.6294534727300505,28.67,15.6,16.67,17.0,15.55,19.0,0.036,0.793,0.17,0.9955,0,0.328125,0.826516290726817,0.09843400447427297,0.03139013452914796,0.006741573033707815
marvel_cinematic_universe_wikipedia.txt,460,29,2912,221,5.113043478260869,15.862068965517242,100.41379310344827,0.48043478260869565,13.838288059186976,7.1730522198998745,4.714336247600099,38.25,14.0,14.5,15.5,14.1,17.3,0.028,0.831,0.142,0.9939,0,0.3217391304347826,0.7805839416058395,0.11546840958605664,0.026200873362445365,0.013129102844638973
modernist_literature_bard.txt,630,21,4578,137,6.095238095238095,30.0,218.0,0.21746031746031746,8.263517065131184,6.4865817690055705,4.313637850967794,-1.18,20.9,15.85,21.3,18.81,23.0,0.068,0.854,0.078,0.6808,0,0.35714285714285715,0.7935283993115319,0.6772655007949125,0.6671974522292994,0.6650717703349283
modernist_literature_chatgpt.txt,753,36,5520,170,6.127490039840637,20.916666666666668,153.33333333333334,0.22576361221779548,9.911763493725804,6.975054232337202,4.592504712706622,6.64,17.8,12.1,18.1,19.26,20.4,0.109,0.823,0.069,-0.9896,0,0.2948207171314741,0.8623579545454546,0.6821808510638299,0.6697736351531292,0.6666666666666667
modernist_literature_deepseek.txt,465,22,3218,252,5.744086021505376,21.136363636363637,146.27272727272728,0.5419354838709678,9.808602228959558,7.158586808446263,4.510361764918336,14.8,16.8,17.91,17.9,17.53,18.8,0.052,0.889,0.058,-0.0772,0,0.34838709677419355,0.8196153846153847,0.08836206896551724,0.010799136069114423,0.0
modernist_literature_wikipedia.txt,588,21,3773,99,5.27891156462585,28.0,179.66666666666666,0.1683673469387755,9.335033858688309,6.271932232965988,4.387070052823768,17.47,17.8,13.34,18.7,14.92,19.5,0.027,0.924,0.048,0.7184,0,0.3673469387755102,0.8251576994434137,0.75809199318569,0.7491467576791808,0.7487179487179487
theory_of_relativity_bard.txt,427,23,3048,208,5.798594847775176,18.565217391304348,132.52173913043478,0.48711943793911006,7.125130582824868,7.0871717840156565,4.532464499415689,17.54,15.7,15.04,16.7,17.23,17.5,0.006,0.898,0.096,0.9895,0,0.3583138173302108,0.7893650793650794,0.11267605633802813,0.028235294117647025,0.009433962264150941
theory_of_relativity_chatgpt.txt,337,14,2349,191,5.836795252225519,24.071428571428573,167.78571428571428,0.5667655786350149,6.713145799892346,6.973327522488017,4.463937529590423,13.38,17.3,17.68,18.4,17.06,18.8,0.012,0.879,0.109,0.9852,0,0.3590504451038576,0.8344444444444444,0.07738095238095233,0.011940298507462699,0.0029940119760478723
theory_of_relativity_deepseek.txt,662,28,4361,305,5.4395770392749245,23.642857142857142,155.75,0.4607250755287009,10.103798033110003,7.285909200211417,4.452582410423339,21.63,16.2,16.72,17.5,15.15,17.4,0.016,0.886,0.099,0.995,0,0.38821752265861026,0.7963784665579118,0.15279878971255678,0.050000000000000044,0.018209408194233667
theory_of_relativity_wikipedia.txt,515,26,3633,270,5.850485436893204,19.807692307692307,139.73076923076923,0.5242718446601942,12.184540112432611,7.231263737153941,4.603150864493808,9.79,16.6,15.7,16.9,17.93,17.8,0.005,0.924,0.071,0.9821,0,0.3339805825242718,0.7914163090128754,0.11478599221789887,0.01949317738791423,0.0
